period,respondent,respondent-name,fueltype,type-name,value,value-units
2024-03-31T00,CAL,California,SUN,Solar,6863,megawatthours
2024-03-30T23,CAL,California,SUN,Solar,8766,megawatthours
2024-03-30T22,CAL,California,SUN,Solar,10644,megawatthours
2024-03-30T21,CAL,California,SUN,Solar,10757,megawatthours
2024-03-30T20,CAL,California,SUN,Solar,11334,megawatthours
2024-03-30T19,CAL,California,SUN,Solar,10295,megawatthours
2024-03-30T18,CAL,California,SUN,Solar,9560,megawatthours
2024-03-30T17,CAL,California,SUN,Solar,7548,megawatthours
2024-03-30T16,CAL,California,SUN,Solar,3086,megawatthours
2024-03-30T15,CAL,California,SUN,Solar,253,megawatthours
2024-03-30T14,CAL,California,SUN,Solar,-32,megawatthours
2024-03-30T13,CAL,California,SUN,Solar,-39,megawatthours
2024-03-30T12,CAL,California,SUN,Solar,-31,megawatthours
2024-03-30T11,CAL,California,SUN,Solar,-38,megawatthours
2024-03-30T10,CAL,California,SUN,Solar,-14,megawatthours
2024-03-30T09,CAL,California,SUN,Solar,-23,megawatthours
2024-03-30T08,CAL,California,SUN,Solar,-27,megawatthours
2024-03-30T07,CAL,California,SUN,Solar,1,megawatthours
2024-03-30T06,CAL,California,SUN,Solar,2,megawatthours
2024-03-30T05,CAL,California,SUN,Solar,59,megawatthours
2024-03-30T04,CAL,California,SUN,Solar,131,megawatthours
2024-03-30T03,CAL,California,SUN,Solar,1358,megawatthours
2024-03-30T02,CAL,California,SUN,Solar,5632,megawatthours
2024-03-30T01,CAL,California,SUN,Solar,7642,megawatthours
2024-03-30T00,CAL,California,SUN,Solar,9120,megawatthours
2024-03-29T23,CAL,California,SUN,Solar,10199,megawatthours
2024-03-29T22,CAL,California,SUN,Solar,10742,megawatthours
2024-03-29T21,CAL,California,SUN,Solar,11372,megawatthours
2024-03-29T20,CAL,California,SUN,Solar,12079,megawatthours
2024-03-29T19,CAL,California,SUN,Solar,11995,megawatthours
2024-03-29T18,CAL,California,SUN,Solar,11105,megawatthours
2024-03-29T17,CAL,California,SUN,Solar,9215,megawatthours
2024-03-29T16,CAL,California,SUN,Solar,4527,megawatthours
2024-03-29T15,CAL,California,SUN,Solar,458,megawatthours
2024-03-29T14,CAL,California,SUN,Solar,-38,megawatthours
2024-03-29T13,CAL,California,SUN,Solar,-52,megawatthours
2024-03-29T12,CAL,California,SUN,Solar,-52,megawatthours
2024-03-29T11,CAL,California,SUN,Solar,-51,megawatthours
2024-03-29T10,CAL,California,SUN,Solar,-51,megawatthours
2024-03-29T09,CAL,California,SUN,Solar,-49,megawatthours
2024-03-29T08,CAL,California,SUN,Solar,-41,megawatthours
2024-03-29T07,CAL,California,SUN,Solar,-4,megawatthours
2024-03-29T06,CAL,California,SUN,Solar,-5,megawatthours
2024-03-29T05,CAL,California,SUN,Solar,4,megawatthours
2024-03-29T04,CAL,California,SUN,Solar,32,megawatthours
2024-03-29T03,CAL,California,SUN,Solar,1275,megawatthours
2024-03-29T02,CAL,California,SUN,Solar,5606,megawatthours
